Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:54:53,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:53,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:59,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:00,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:00,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:00,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:00,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:00,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:01,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:02,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:02,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:02,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:02,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:02,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:03,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:04,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:04,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:04,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:04,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:04,30.50,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:05,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:06,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:06,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:06,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:06,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:06,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:10,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:11,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:11,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:11,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:11,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
09:55:11,30.60,96.5,0.19,not detected,not detected,flame detected,0.0,0.0,
